P5940:R0=0    
P5939:R53=7.28011    P5939:R54=7.34847    P5939:R55=7.4162    P5939:R56=7.48331    
P5939:R57=7.54983    P5939:R58=7.61577    P5939:R59=7.68115    P5939:R60=7.74597    
P5939:R61=7.81025    P5939:R62=7.87401    P5939:R63=7.93725    P5939:R64=8    
P5939:R65=8.06226    P5939:R66=8.12404    P5939:R67=8.18535    P5939:R68=8.24621    
P5939:R69=8.30662    P5939:R70=8.3666    P5939:R71=8.42615    P5939:R72=8.48528    
P5939:R73=8.544    P5939:R74=8.60233    P5939:R75=8.66025    P5939:R76=8.7178    
P5939:R77=8.77496    P5939:R78=8.83176    P5939:R79=8.88819    P5939:R80=8.94427    
P5939:R81=9    P5939:R82=9.05539    P5939:R83=9.11043    P5939:R84=9.16515    
P5939:R85=9.21954    P5939:R86=9.27362    P5939:R87=9.32738    P5939:R88=9.38083    
P5939:R89=9.43398    P5939:R90=9.48683    P5939:R91=9.53939    P5939:R92=9.59166    
P5939:R93=9.64365    P5939:R94=9.69536    P5939:R95=9.74679    P5939:R96=9.79796    
P5939:R97=9.84886    P5939:R98=9.89949    P5939:R99=9.94987    P5939:R100=10    
P5939:R101=10.0499    P5939:R102=10.0995    P5939:R103=10.1489    P5939:R104=10.198    
P5939:R105=10.247    P5939:R106=10.2956    P5939:R107=10.3441    P5939:R108=10.3923    
P5939:R109=10.4403    P5939:R110=10.4881    P5939:R111=10.5357    P5939:R112=10.583    
P5939:R113=10.6301    P5939:R114=10.6771    P5939:R115=10.7238    P5939:R116=10.7703    
P5939:R117=10.8167    P5939:R118=10.8628    P5939:R119=10.9087    P5939:R120=10.9545    
P5939:R121=11    P5939:R122=11.0454    P5939:R123=11.0905    P5939:R124=11.1355    
P5939:R125=11.1803    P5939:R126=11.225    P5939:R127=11.2694    P5939:R128=11.3137    
P5939:R129=11.3578    P5939:R130=11.4018    P5939:R131=11.4455    P5939:R132=11.4891    
P5939:R133=11.5326    P5939:R134=11.5758    P5939:R135=11.619    P5939:R136=11.6619    
P5939:R137=11.7047    P5939:R138=11.7473    P5939:R139=11.7898    P5939:R140=11.8322    
P5939:R141=11.8743    P5939:R142=11.9164    P5939:R143=11.9583    P5939:R144=12    
P5939:R145=12.0416    P5939:R146=12.083    P5939:R147=12.1244    P5939:R148=12.1655    
P5939:R149=12.2066    P5939:R150=12.2474    P5939:R151=12.2882    P5939:R152=12.3288    
P5939:R153=12.3693    P5939:R154=12.4097    P5939:R155=12.4499    P5939:R156=12.49    
